Klebsiella variicola,,,,,Sphingomonas koreensis,,,,,,,,,Bifidobacterium scardovii,,,,,,Corynebacterium pseudotuberculosis,,,,,,,,,,,,,,,,
Klebsiella variicola tropica,,,,,Sphingomonas paucimobilis,,,,,,,,,Bilophila wadsworthia,,,,,,Corynebacterium pyogenes,,,,,,,,,,,,,,,,
Klebsiella variicola tropicalensis,,,,,Shewanella algae,,,,,,,,,Blautia producta,,,,,,Corynebacterium pyruviciproducens,,,,,,,,,,,,,,,,
Klebsiella variicola variicola,,,,,Shewanella haliotis,,,,,,,,,Brachyspira aalborgi,,,,,,Corynebacterium resistens,,,,,,,,,,,,,,,,
Kluyvera ascorbata,,,,,Shewanella xiamenensis,,,,,,,,,Brachyspira pilosicoli,,,,,,Corynebacterium riegelii,,,,,,,,,,,,,,,,
Kluyvera cryocrescens,,,,,Shewanella putrefaciens,,,,,,,,,Bulleidia extructa,,,,,,Corynebacterium rouxii,,,,,,,,,,,,,,,,
Kosakonia cowanii,,,,,Methylobacterium mesophilica,,,,,,,,,Butyricimonas faecihominis,,,,,,Corynebacterium segmentosum,,,,,,,,,,,,,,,,
Kosakonia quasisacchari,,,,,Methylobacterium mesophilicum,,,,,,,,,Butyricimonas virosa,,,,,,Corynebacterium seminale,,,,,,,,,,,,,,,,
Koserella trabulsii,,,,,Methylobacterium zatmanii,,,,,,,,,Calymmatobacterium granulomatis,,,,,,Corynebacterium simulans,,,,,,,,,,,,,,,,
Leclercia adecarboxylata,,,,,Roseomonas cervicalis,,,,,,,,,Capsularis zoogleoformans,,,,,,Corynebacterium sputi,,,,,,,,,,,,,,,,
Lelliottia amnigena,,,,,Roseomonas gilardii,,,,,,,,,Catabacter hongkongensis,,,,,,Corynebacterium striatum,,,,,,,,,,,,,,,,
Lelliottia amnigenus,,,,,Roseomonas gilardii,,,,,,,,,Centipeda periodontii,,,,,,Corynebacterium sundsvallense,,,,,,,,,,,,,,,,
Leminorella grimontii,,,,,Roseomonas mucosa,,,,,,,,,Christensenella hongkongensis,,,,,,Corynebacterium timonense,,,,,,,,,,,,,,,,
Levinea amalonatica,,,,,Balneatrix alpica,,,,,,,,,Clostridioides difficile,,,,,,Corynebacterium tuberculostearicum,,,,,,,,,,,,,,,,
Levinea malonatica,,,,,Alcaligenes denitrificans,,,,,,,,,Clostridium aldenense,,,,,,Corynebacterium tuscaniae,,,,,,,,,,,,,,,,
Mixta calida,,,,,Alcaligenes denitrificans,,,,,,,,,Clostridium amygdalinum,,,,,,Corynebacterium tuscaniense,,,,,,,,,,,,,,,,
Moellerella wisconsensis,,,,,Alcaligenes faecalis,,,,,,,,,Clostridium barati,,,,,,Corynebacterium ulcerans,,,,,,,,,,,,,,,,
Morganella morganii,,,,,Alcaligenes faecalis,,,,,,,,,Clostridium baratii,,,,,,Corynebacterium urealyticum,,,,,,,,,,,,,,,,
Morganella morganii morganii,,,,,Alcaligenes faecalis,,,,,,,,,Clostridium bifermentans,,,,,,Corynebacterium ureicelerivorans,,,,,,,,,,,,,,,,
Morganella morganii sibonii,,,,,Alcaligenes faecalis,,,,,,,,,Clostridium bolteae,,,,,,Corynebacterium xerosis,,,,,,,,,,,,,,,,
Pantoea agglomerans,,,,,Alcaligenes piechaudii,,,,,,,,,Clostridium botulinum,,,,,,Dermabacter hominis,,,,,,,,,,,,,,,,
Pantoea ananas,,,,,Alcaligenes ruhlandii,,,,,,,,,Clostridium butyricum,,,,,,Dermabacter hominus,,,,,,,,,,,,,,,,
Pantoea ananatis,,,,,Alcaligenes venustus,,,,,,,,,Clostridium cadaveris,,,,,,Dermabacter jinjuensis,,,,,,,,,,,,,,,,
Pantoea brenneri,,,,,Alcaligenes xylosoxidans,,,,,,,,,Clostridium carnis,,,,,,Leifsonia aquatica,,,,,,,,,,,,,,,,
Pantoea calida,,,,,Alcaligenes xylosoxidans,,,,,,,,,Clostridium celatum,,,,,,Microbacterium binotii,,,,,,,,,,,,,,,,
Pantoea conspicua,,,,,Bordetella avium,,,,,,,,,Clostridium chauvoei,,,,,,Microbacterium paraoxydans,,,,,,,,,,,,,,,,
Pantoea dispersa,,,,,Bordetella bronchialis,,,,,,,,,Clostridium citroniae,,,,,,Microbacterium yannicii,,,,,,,,,,,,,,,,
Pantoea eucrina,,,,,Bordetella bronchiseptica,,,,,,,,,Clostridium combesii,,,,,,Oerskovia turbata,,,,,,,,,,,,,,,,
Pantoea herbicola,,,,,Bordetella flabilis,,,,,,,,,Clostridium difficile,,,,,,Oerskovia xanthineolytica,,,,,,,,,,,,,,,,
